更新时间,#genre#
20260626 02:30,url


RespoTime,whitelist,#genre#
0.00ms,CGTN纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
0.00ms,四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
0.00ms,CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
0.00ms,咪咕体育,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
0.00ms,天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
0.00ms,CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
0.00ms,青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
0.00ms,兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
0.00ms,CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
0.00ms,CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
0.00ms,湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
0.00ms,东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
0.00ms,CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
0.00ms,安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
0.00ms,CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
0.00ms,山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
0.00ms,CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
0.00ms,东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
0.00ms,黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
0.00ms,江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
0.00ms,CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
0.00ms,CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
0.00ms,东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
0.00ms,重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
0.00ms,CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
0.00ms,吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
0.00ms,CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
0.00ms,中国|CGTN-Documentary,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
0.00ms,四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
0.00ms,CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
0.00ms,西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
0.00ms,CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8
0.00ms,宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
0.00ms,咪咕视频,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
0.00ms,内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
0.00ms,CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
0.00ms,广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
0.00ms,香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
0.00ms,甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
0.00ms,CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
0.00ms,深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
0.00ms,浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
0.00ms,湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
0.00ms,北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
0.00ms,CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
0.00ms,CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
0.00ms,CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
0.00ms,东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
0.00ms,山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8
0.00ms,江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8
0.00ms,CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
0.00ms,黑龙江农业科教,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
0.00ms,CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
0.00ms,江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
0.00ms,CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
0.00ms,CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
0.00ms,浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
0.00ms,陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
0.00ms,CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
0.00ms,山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
0.00ms,CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
0.00ms,BTV纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
0.00ms,云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
0.00ms,浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
0.00ms,贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
0.00ms,CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
0.00ms,CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
0.00ms,新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
0.00ms,CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8
0.00ms,广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8
0.00ms,西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
0.00ms,CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
0.00ms,山东教育电视台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
0.00ms,CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
0.00ms,湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
0.00ms,河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
0.00ms,重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
0.00ms,海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
0.00ms,海南卫视,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8
0.00ms,江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
0.00ms,中国|CGTN,http://39.134.67.108/PLTV/88888888/224/3221225510/1.m3u8
0.00ms,广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
0.00ms,CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
0.00ms,辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
0.00ms,东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8
0.00ms,CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
0.00ms,CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
0.00ms,江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
0.00ms,河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
0.00ms,天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
0.00ms,北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
0.00ms,CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
0.00ms,CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
0.00ms,辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
0.00ms,贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
7.62ms,第一财经,http://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
8.50ms,遂宁蓬溪新闻综合,http://pxpull.pengxiyun.cn/live/03c29776018f10002512b07f00000000.flv?wsSecret=877689e6c85cd2f605fb24acd551c0c1&wsTime=2019657600
17.08ms,MDIIfarra,http://159.203.148.226/live/farra.m3u8
17.75ms,Beach TV Myrtle Beach & The Grand Strand (720p),http://media4.tripsmarter.com:1935/LiveTV/MTVHD/playlist.m3u8
21.72ms,音乐现场,http://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
26.19ms,红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
28.36ms,CCTV-15 (1080p),https://xykt-fix.github.io/play/a02e/index.m3u8
29.25ms,粤语剧场版04,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c1bf3dbbe4014f0370019934d4f1dc_258.mp4
29.27ms,粤语剧场版48,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c45e260713a901037001993f118f1b_258.mp4
29.32ms,粤语说唱版12,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c167a707cf370103700199337e0687_258.mp4
29.61ms,粤语劲爆串烧,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8ccfd682b29e5010370019960c10c99_258.mp4
30.38ms,经典Dj嗨歌09,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8e884a6e896c30103700199cc4951c3_258.mp4
30.41ms,粤语剧场版63,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c468bb071d7d01037001993f3c4e28_258.mp4
30.44ms,3D-1视觉效果,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4
30.58ms,海阔天空绝版,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8bda53107d42b010370019924cf1f9a_258.mp4
30.63ms,粤语剧场版57,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c465a107216501037001993f2e7374_258.mp4
30.70ms,粤语剧场版29,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c31d8207c9d101037001993a2ccea3_258.mp4
30.98ms,3D裸眼-1视觉,https://vd2.bdstatic.com/mda-kka520dkkf8mrujz/sc/mda-kka520dkkf8mrujz.mp4
31.11ms,3D-3视觉效果,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4
31.51ms,爱情重口味播,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8bfa076bc7f7f4f037001992c8c570d_258.mp4
32.23ms,邓紫棋香港站,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c02b2307ec2801037001992eb2cbfb_258.mp4
32.32ms,粤语剧场版10,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c2876207175d010370019937e386d5_258.mp4
32.56ms,粤语剧场版60,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c4674107391101037001993f34c2c4_258.mp4
32.88ms,粤语说唱版07,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c16291bd6f234f03700199336aa526_258.mp4
32.93ms,粤语剧场版44,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c45925bd908b4f037001993efdfa5e_258.mp4
33.15ms,国际|REDBULL SPORTS,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
33.47ms,粤语剧场版55,https://sns-video-default.xhscdn.com/stream/1/110/258/01e8c462b3072dc001037001993f230c81_258.mp4
33.56ms,粤语说唱版04,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c16502bc27294f03700199337327e3_258.mp4
34.00ms,[BD]深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi-21.m3u8
34.01ms,[BD]广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi-3.m3u8
34.45ms,[HD]the fishing and hunting,https://t.freetv.fun/live/the-fishing-and-hunting.m3u8
35.11ms,[BD]max sport 4,https://t.freetv.fun/live/max-sport-4.m3u8
35.14ms,[HD]cctv11hd,https://t.freetv.fun/live/cctv11hd.m3u8
35.21ms,CCTV-9 (576i),https://xykt-fix.github.io/Y77.m3u8
35.23ms,[BD]women's sports network,https://t.freetv.fun/live/women-s-sports-network-1.m3u8
35.36ms,[HD]bethel tv,https://t.freetv.fun/live/bethel-tv.m3u8
35.55ms,粤语剧场版61,https://sns-video-default.xhscdn.com/stream/79/110/258/01e8c467a2bc44bc4f037001993f35f84f_258.mp4
35.58ms,[HD]canal 4 posadas,https://t.freetv.fun/live/canal-4-posadas.m3u8
35.70ms,[BD]tv zoom,https://t.freetv.fun/live/tv-zoom-1.m3u8
35.91ms,[BD]cctv-13hd,https://t.freetv.fun/live/cctv-13hd-3.m3u8
35.92ms,[VGA]rtvi,https://t.freetv.fun/live/rtvi.m3u8
36.01ms,[BD]chc影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-8.m3u8
36.09ms,[SD]stryk tv (1080p),https://t.freetv.fun/live/stryk-tv-1080p.m3u8
36.11ms,[SD]贵州卫视,https://t.freetv.fun/live/gui-zhou-wei-shi-11.m3u8
36.20ms,[BD]镇江新闻综合,https://t.freetv.fun/live/zhen-jiang-xin-wen-zong-he-4.m3u8
36.23ms,[BD]cgtn新闻,https://t.freetv.fun/live/cgtnxin-wen.m3u8
36.28ms,[HD]辽宁卫视,https://t.freetv.fun/live/liao-zhu-wei-shi-7.m3u8
36.33ms,[BD]汕尾综合高清,https://t.freetv.fun/live/shan-wei-zong-he-gao-qing-12.m3u8
36.46ms,[BD]ntv-hit,https://t.freetv.fun/live/ntv-hit.m3u8
36.47ms,[BD]babyfirst tv,https://t.freetv.fun/live/babyfirst-tv.m3u8
36.47ms,[BD]newsmax tv,https://t.freetv.fun/live/newsmax-tv.m3u8
36.48ms,[HD]espn 2,https://t.freetv.fun/live/espn-2-1.m3u8
36.52ms,[BD]cctv8,https://t.freetv.fun/live/cctv8-13.m3u8
36.54ms,[BD]山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-5.m3u8
36.55ms,[BD]河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-3.m3u8
36.79ms,[SD]cctv-4中文国际,https://t.freetv.fun/live/cctv-4zhong-wen-guo-ji-6.m3u8
36.79ms,[BD]russia-1,https://t.freetv.fun/live/russia-1.m3u8
36.80ms,[BD]山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-17.m3u8
36.90ms,[BD]hoy资讯,https://t.freetv.fun/live/hoyzi-xun.m3u8
36.99ms,[BD]fokus tv,https://t.freetv.fun/live/fokus-tv.m3u8
37.02ms,[BD]广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-8.m3u8
37.04ms,[BD]大湾区卫视高清,https://t.freetv.fun/live/da-wan-qu-wei-shi-gao-qing-1.m3u8
37.05ms,[BD]alkass three,https://t.freetv.fun/live/alkass-three-1.m3u8
37.10ms,[HD]cartoon network,https://t.freetv.fun/live/cartoon-network.m3u8
37.13ms,[HD]neo tv,https://t.freetv.fun/live/neo-tv.m3u8
37.16ms,[BD]usa network latin america,https://t.freetv.fun/live/usa-network-latin-america.m3u8
37.28ms,[SD]tiji,https://t.freetv.fun/live/tiji.m3u8
37.29ms,[BD]cgtn documentary,https://t.freetv.fun/live/cgtn-documentary.m3u8
37.30ms,[BD]内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi-10.m3u8
37.34ms,[SD]天津卫视,https://t.freetv.fun/live/tian-jin-wei-shi-26.m3u8
37.34ms,[SD]cetv1,https://t.freetv.fun/live/cetv1-3.m3u8
37.35ms,[SD]广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi-27.m3u8
37.35ms,[HD]fox news channel,https://t.freetv.fun/live/fox-news-channel-1.m3u8
37.39ms,[BD]own,https://t.freetv.fun/live/own.m3u8
37.40ms,[BD]上海新闻综合,https://t.freetv.fun/live/shang-hai-xin-wen-zong-he-3.m3u8
37.41ms,[BD]安徽卫视,https://t.freetv.fun/live/an-hui-wei-shi-3.m3u8
37.55ms,[BD]marquee sports network,https://t.freetv.fun/live/marquee-sports-network.m3u8
37.56ms,[BD]金光布袋戏,https://t.freetv.fun/live/jin-guang-bu-dai-xi.m3u8
37.56ms,[BD]广东卫视高清,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-13.m3u8
37.58ms,[HD]bbc america,https://t.freetv.fun/live/bbc-america.m3u8
37.60ms,[BD]湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi-22.m3u8
37.60ms,[BD]凤凰资讯,https://t.freetv.fun/live/feng-huang-zi-xun-1.m3u8
37.63ms,[SD]吉林都市,https://t.freetv.fun/live/ji-lin-du-shi.m3u8
37.64ms,[BD]深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi-3.m3u8
37.71ms,[BD]bein sports xtra,https://t.freetv.fun/live/bein-sports-xtra-1.m3u8
37.77ms,[HD]prattel tv,https://t.freetv.fun/live/prattel-tv.m3u8
37.78ms,[HD]cctv2财经,https://t.freetv.fun/live/cctv2cai-jing-2.m3u8
37.80ms,[BD]cnn en español,https://t.freetv.fun/live/cnn-en-espanol.m3u8
37.81ms,[BD]浙江公共新闻,https://t.freetv.fun/live/zhe-jiang-gong-gong-xin-wen.m3u8
37.88ms,[BD]黑龙江卫视,https://t.freetv.fun/live/hei-long-jiang-wei-shi-11.m3u8
37.93ms,[SD]rtp madeira,https://t.freetv.fun/live/rtp-madeira-1.m3u8
37.93ms,[BD]btv comedy,https://t.freetv.fun/live/btv-comedy.m3u8
37.94ms,[SD]新疆卫视,https://t.freetv.fun/live/xin-jiang-wei-shi-16.m3u8
37.95ms,[BD]经济科教高清,https://t.freetv.fun/live/jing-ji-ke-jiao-gao-qing.m3u8
37.95ms,[BD]广东新闻高清,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-4.m3u8
37.98ms,[BD]tsn1 ca 01,https://t.freetv.fun/live/tsn1-ca-01.m3u8
37.99ms,[BD]cctv12hd,https://t.freetv.fun/live/cctv12hd.m3u8
38.01ms,[SD]兵团卫视,https://t.freetv.fun/live/bing-tuan-wei-shi-2.m3u8
38.03ms,[HD]istv,https://t.freetv.fun/live/istv.m3u8
38.04ms,[SD]дом кино премиум (1080p),https://t.freetv.fun/live/dom-kino-premium-1080p.m3u8
38.05ms,[HD]crime plus investigation,https://t.freetv.fun/live/crime-plus-investigation.m3u8
38.17ms,[HD]广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-14.m3u8
38.18ms,[BD]四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-6.m3u8
38.22ms,[BD]golf zone,https://t.freetv.fun/live/golf-zone.m3u8
38.23ms,[BD]antena,https://t.freetv.fun/live/antena.m3u8
38.24ms,[BD]陕西卫视,https://t.freetv.fun/live/shan-xi-wei-shi.m3u8
38.25ms,[BD]fs2,https://t.freetv.fun/live/fs2.m3u8
38.25ms,[BD]voa persian,https://t.freetv.fun/live/voa-persian.m3u8
38.31ms,[BD]大湾区卫视高清,https://t.freetv.fun/live/da-wan-qu-wei-shi-gao-qing-7.m3u8
38.35ms,[BD]天津卫视,https://t.freetv.fun/live/tian-jin-wei-shi-17.m3u8
38.36ms,[HD]cr tv,https://t.freetv.fun/live/cr-tv.m3u8
38.38ms,[BD]广东新闻高清,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-10.m3u8
38.41ms,[BD]tnt sports 1 bola rusia,https://t.freetv.fun/live/tnt-sports-1-bola-rusia.m3u8
38.46ms,[VGA]retrô cartoon 1,https://t.freetv.fun/live/retro-cartoon-1.m3u8
38.48ms,[BD]辽宁经济,https://t.freetv.fun/live/liao-zhu-jing-ji.m3u8
38.50ms,[HD]ugtv,https://t.freetv.fun/live/ugtv.m3u8
38.51ms,[VGA]monte carlo digital television (1080p),https://t.freetv.fun/live/monte-carlo-digital-television-1080p.m3u8
38.54ms,[BD]江津新闻综合,https://t.freetv.fun/live/jiang-jin-xin-wen-zong-he.m3u8
38.56ms,[BD]al jazeera,https://t.freetv.fun/live/al-jazeera.m3u8
38.60ms,[BD]东方影视,https://t.freetv.fun/live/dong-fang-ying-shi.m3u8
38.61ms,[SD]河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-32.m3u8
38.64ms,[SD]cctv-14少儿,https://t.freetv.fun/live/cctv-14shao-er-1.m3u8
38.65ms,[BD]凤凰中文,https://t.freetv.fun/live/feng-huang-zhong-wen.m3u8
38.66ms,[SD]四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-12.m3u8
38.69ms,[BD]北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-24.m3u8
38.69ms,[HD]湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi.m3u8
38.72ms,[BD]cctv4,https://t.freetv.fun/live/cctv4.m3u8
38.72ms,[VGA]浙江卫视,https://t.freetv.fun/live/zhe-jiang-wei-shi-16.m3u8
38.74ms,[HD]fortuna tv,https://t.freetv.fun/live/fortuna-tv-1.m3u8
38.75ms,[HD]太谷新闻综合,https://t.freetv.fun/live/tai-gu-xin-wen-zong-he-1.m3u8
38.75ms,[BD]衢江新闻综合,https://t.freetv.fun/live/qu-jiang-xin-wen-zong-he-3.m3u8
38.78ms,[BD]汕头综合高清,https://t.freetv.fun/live/shan-tou-zong-he-gao-qing-6.m3u8
38.79ms,[BD]重庆|江津新闻综合,https://t.freetv.fun/live/zhong-qing-jiang-jin-xin-wen-zong-he.m3u8
38.83ms,[HD]sbn tv international,https://t.freetv.fun/live/sbn-tv-international.m3u8
38.84ms,[BD]arena sport 7,https://t.freetv.fun/live/arena-sport-7.m3u8
38.86ms,[HD]latina tv,https://t.freetv.fun/live/latina-tv.m3u8
38.86ms,[BD]tele bari,https://t.freetv.fun/live/tele-bari.m3u8
38.89ms,[BD]江苏卫视,https://t.freetv.fun/live/jiang-su-wei-shi-6.m3u8
38.91ms,[BD]elta体育1,https://t.freetv.fun/live/eltati-yu-1.m3u8
38.91ms,[BD]广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-3.m3u8
38.92ms,[BD]arte 1,https://t.freetv.fun/live/arte-1.m3u8
38.93ms,[BD]dbs tv,https://t.freetv.fun/live/dbs-tv.m3u8
38.94ms,[BD]云南卫视,https://t.freetv.fun/live/yun-nan-wei-shi-8.m3u8
38.97ms,[HD]江苏卫视,https://t.freetv.fun/live/jiang-su-wei-shi-23.m3u8
39.05ms,[HD]antena 1 tv,https://t.freetv.fun/live/antena-1-tv.m3u8
39.06ms,[BD]tv puls,https://t.freetv.fun/live/tv-puls.m3u8
39.06ms,[HD]skai tv,https://t.freetv.fun/live/skai-tv-1.m3u8
39.07ms,[HD]music hits,https://t.freetv.fun/live/music-hits.m3u8
39.22ms,[BD]东方卫视,https://t.freetv.fun/live/dong-fang-wei-shi-7.m3u8
39.24ms,[HD]浙江钱江,https://t.freetv.fun/live/zhe-jiang-qian-jiang-3.m3u8
39.24ms,[BD]atreseries,https://t.freetv.fun/live/atreseries.m3u8
39.26ms,[BD]河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-14.m3u8
39.28ms,[BD]tnt sports2,https://t.freetv.fun/live/tnt-sports2.m3u8
39.30ms,[VGA]重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-20.m3u8
39.32ms,[BD]caras tv,https://t.freetv.fun/live/caras-tv.m3u8
